INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
City Colleges of Chicago-Harold Washington College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,3504,11544
City Colleges of Chicago-Wilbur Wright College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,3504,11544
Columbia College Chicago,Chicago,IL,0.9022,NULL,NULL,NULL,NULL,NULL,27756,27756
Concordia University-Chicago,River Forest,IL,0.7472,500,590,510,590,1113,32880,32880
Coyne College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Danville Area Community College,Danville,IL,NULL,NULL,NULL,NULL,NULL,NULL,5025,8325
Tricoci University of Beauty Culture-Danville,Danville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DePaul University,Chicago,IL,0.6822,NULL,NULL,NULL,NULL,NULL,41202,41202
Cosmetology & Spa Academy,Crystal Lake,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of DuPage,Glen Ellyn,IL,NULL,NULL,NULL,NULL,NULL,NULL,4110,11820
East-West University,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,22650,22650
Eastern Illinois University,Charleston,IL,0.525,470,570,470,560,1051,11989,14269
Elgin Community College,Elgin,IL,NULL,NULL,NULL,NULL,NULL,NULL,3180,11959
Elmhurst University,Elmhurst,IL,0.6778,490,610,500,600,1114,37754,37754
Eureka College,Eureka,IL,0.6184,470,580,450,580,1044,27560,27560
First Institute of Travel Inc.,Crystal Lake,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Fox College,Bedford Park,IL,0.6184,NULL,NULL,NULL,NULL,NULL,15280,15280
Garrett-Evangelical Theological Seminary,Evanston,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Gem City College,Quincy,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Governors State University,University Park,IL,0.4561,440,520,400,510,955,10070,17582
Graham Hospital School of Nursing,Canton,IL,1,NULL,NULL,NULL,NULL,NULL,6896,6896
Greenville University,Greenville,IL,0.5612,470,590,480,590,1076,27910,27910
G Skin & Beauty Institute,Schaumburg,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hair Professionals Career College,Sycamore,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hair Professionals School of Cosmetology,Oswego,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Hebrew Theological College,Skokie,IL,1,NULL,NULL,NULL,NULL,NULL,13300,13300
Highland Community College,Freeport,IL,NULL,NULL,NULL,NULL,NULL,NULL,4302,6654
Rosalind Franklin University of Medicine and Science,North Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Illinois Chicago,Chicago,IL,0.727,510,620,520,640,1161,13874,27566
Benedictine University,Lisle,IL,0.4171,480,555,510,608,1098,34290,34290
Illinois College of Optometry,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Illinois Urbana-Champaign,Champaign,IL,0.5903,600,700,610,770,1342,15122,32264
Illinois Wesleyan University,Bloomington,IL,0.608,560,650,560,670,1245,50028,50028
Illinois Central College,East Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,4500,11340
Illinois College,Jacksonville,IL,0.7804,NULL,NULL,NULL,NULL,NULL,33740,33740
Olney Central College,Olney,IL,NULL,NULL,NULL,NULL,NULL,NULL,4098,12082
Illinois Institute of Technology,Chicago,IL,0.6023,570,670,620,730,1312,49280,49280
Illinois State University,Normal,IL,0.8194,510,610,510,610,1132,14832,26356
Illinois Valley Community College,Oglesby,IL,NULL,NULL,NULL,NULL,NULL,NULL,4000,11992
Institute for Clinical Social Work,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John A Logan College,Carterville,IL,NULL,NULL,NULL,NULL,NULL,NULL,3766,6106
The John Marshall Law School,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
John Wood Community College,Quincy,IL,NULL,NULL,NULL,NULL,NULL,NULL,4890,8190
Joliet Junior College,Joliet,IL,NULL,NULL,NULL,NULL,NULL,NULL,4440,13410
Judson University,Elgin,IL,0.3853,430,550,450,550,1036,29870,29870
Kankakee Community College,Kankakee,IL,NULL,NULL,NULL,NULL,NULL,NULL,4830,22442
Kaskaskia College,Centralia,IL,NULL,NULL,NULL,NULL,NULL,NULL,4560,12330
Kishwaukee College,Malta,IL,NULL,NULL,NULL,NULL,NULL,NULL,4890,13530
Knox College,Galesburg,IL,0.6832,550,670,540,680,1255,48168,48168
Educators of Beauty College of Cosmetology-Peru,PERU,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Lake County,Grayslake,IL,NULL,NULL,NULL,NULL,NULL,NULL,4032,12530
Lake Forest College,Lake Forest,IL,0.552,NULL,NULL,NULL,NULL,NULL,48424,48424
Lake Forest Graduate School of Management,Lake Forest,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lake Land College,Mattoon,IL,NULL,NULL,NULL,NULL,NULL,NULL,4130,13756
Lakeview College of Nursing,Danville,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lewis and Clark Community College,Godfrey,IL,NULL,NULL,NULL,NULL,NULL,NULL,3552,12552
Lewis University,Romeoville,IL,0.639,500,600,510,600,1131,33430,33430
Lincoln Christian University,Lincoln,IL,NULL,NULL,NULL,NULL,NULL,NULL,13590,13590
Lincoln College,Lincoln,IL,0.6685,NULL,NULL,NULL,NULL,NULL,19000,19000
Lincoln Land Community College,Springfield,IL,NULL,NULL,NULL,NULL,NULL,NULL,3420,9732
Lincoln College of Technology-Melrose Park,Melrose Park,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Loyola University Chicago,Chicago,IL,0.6722,570,660,560,660,1263,45543,45543
Lutheran School of Theology at Chicago,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trinity College of Nursing & Health Sciences,Rock Island,IL,NULL,NULL,NULL,NULL,NULL,NULL,26075,26075
Steven Papageorge Hair Academy,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
MacCormac College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,12700,12700
MacMurray College,Jacksonville,IL,0.6236,470,550,470,540,1023,28540,28540
McCormick Theological Seminary,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
McHenry County College,Crystal Lake,IL,NULL,NULL,NULL,NULL,NULL,NULL,3584,14383
McKendree University,Lebanon,IL,0.6335,428,635,431,633,1106,31640,31640
Meadville Lombard Theological School,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Methodist College,Peoria,IL,0.4394,500,530,470,500,1017,17560,17560
Millikin University,Decatur,IL,0.7125,490,610,460,590,1112,37054,37054
Monmouth College,Monmouth,IL,0.6667,490,610,460,600,1099,38990,38990
Moody Bible Institute,Chicago,IL,0.9441,530,620,460,580,1080,13290,13290
Moraine Valley Community College,Palos Hills,IL,NULL,NULL,NULL,NULL,NULL,NULL,4446,11436
Morrison Institute of Technology,Morrison,IL,NULL,NULL,NULL,NULL,NULL,NULL,17400,17400
Morton College,Cicero,IL,NULL,NULL,NULL,NULL,NULL,NULL,4798,10942
Mr John's School of Cosmetology Esthetics & Nails-Decatur,Decatur,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
National Louis University,Chicago,IL,0.9767,NULL,NULL,NULL,NULL,NULL,11010,11010
National University of Health Sciences,Lombard,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cosmetology Concepts Niles,Niles,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
North Central College,Naperville,IL,0.5364,510,630,520,630,1161,40040,40040
North Park University,Chicago,IL,0.4764,480,590,490,590,1088,31030,31030
Northern Baptist Theological Seminary,Lisle,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Northern Illinois University,Dekalb,IL,0.4835,470,590,470,580,1070,14610,14610
Northwestern University,Evanston,IL,0.0905,700,760,740,790,1506,56691,56691
Northeastern Illinois University,Chicago,IL,0.5848,470,570,440,550,1011,11462,21161
Oakton Community College,Des Plaines,IL,NULL,NULL,NULL,NULL,NULL,NULL,3985,12462
Oehrlein School of Cosmetology,East Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Olivet Nazarene University,Bourbonnais,IL,0.5776,490,600,470,580,1098,37070,37070
Parkland College,Champaign,IL,NULL,NULL,NULL,NULL,NULL,NULL,5130,15930
Prairie State College,Chicago Heights,IL,NULL,NULL,NULL,NULL,NULL,NULL,4176,11064
Principia College,Elsah,IL,0.9143,510,625,500,593,1145,30190,30190
Professional's Choice Hair Design Academy,Joliet,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Quincy University,Quincy,IL,0.6176,470,590,480,600,1098,30450,30450
Rend Lake College,Ina,IL,NULL,NULL,NULL,NULL,NULL,NULL,4050,6750
Richland Community College,Decatur,IL,NULL,NULL,NULL,NULL,NULL,NULL,4500,14820
Robert Morris University Illinois,Chicago,IL,0.6341,NULL,NULL,NULL,NULL,NULL,29400,29400
Rock Valley College,Rockford,IL,NULL,NULL,NULL,NULL,NULL,NULL,4064,16994
Rockford University,Rockford,IL,0.5424,480,570,480,570,1069,32100,32100
Roosevelt University,Chicago,IL,0.673,510,630,500,600,1143,30876,30876
Dominican University,River Forest,IL,0.6434,500,600,500,600,1106,34420,34420
Rush University,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saint Francis Medical Center College of Nursing,Peoria,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of St Francis,Joliet,IL,0.4562,520,600,510,620,1140,34000,34000
St. John's College-Department of Nursing,Springfield,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saint Xavier University,Chicago,IL,0.7265,480,570,480,570,1065,34380,34380
University of Illinois Springfield,Springfield,IL,0.7681,500,610,495,610,1118,11813,21338
Sauk Valley Community College,Dixon,IL,NULL,NULL,NULL,NULL,NULL,NULL,4680,11970
Shawnee Community College,Ullin,IL,NULL,NULL,NULL,NULL,NULL,NULL,3750,6060
Saint Augustine College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,11736,11736
University of Saint Mary of the Lake,Mundelein,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southeastern Illinois College,Harrisburg,IL,NULL,NULL,NULL,NULL,NULL,NULL,4020,6240
National Latino Education Institute,Chicago,IL,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Spertus College,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Spoon River College,Canton,IL,NULL,NULL,NULL,NULL,NULL,NULL,5100,11670
Saint Anthony College of Nursing,Rockford,IL,1,NULL,NULL,NULL,NULL,NULL,26692,26692
Educators of Beauty College of Cosmetology-Sterling,Sterling,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Southern Illinois University-Carbondale,Carbondale,IL,0.6638,520,630,510,620,1169,14904,29360
Southern Illinois University-Edwardsville,Edwardsville,IL,0.8567,510,610,510,610,1137,12219,12219
Taylor Business Institute,Chicago,IL,0.9552,NULL,NULL,NULL,NULL,NULL,14325,14325
Telshe Yeshiva-Chicago,Chicago,IL,0.9167,NULL,NULL,NULL,NULL,NULL,14500,14500
South Suburban College,South Holland,IL,NULL,NULL,NULL,NULL,NULL,NULL,5093,12683
Tri-County Beauty Academy,LITCHFIELD,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Trinity Christian College,Palos Heights,IL,0.6906,480,580,490,570,1113,31175,31175
Trinity International University-Illinois,Deerfield,IL,0.6024,470,580,460,580,1078,33028,33028
Triton College,River Grove,IL,NULL,NULL,NULL,NULL,NULL,NULL,4320,13022
University of Spa & Cosmetology Arts,Springfield,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
VanderCook College of Music,Chicago,IL,0.8519,488,550,485,575,1034,29070,29070
Waubonsee Community College,Sugar Grove,IL,NULL,NULL,NULL,NULL,NULL,NULL,3312,9860
Resurrection University,Chicago,IL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Western Illinois University,Macomb,IL,0.5666,480,580,470,570,1067,13256,13256
Wheaton College,Wheaton,IL,0.8481,620,720,600,720,1337,37700,37700
William Rainey Harper College,Palatine,IL,NULL,NULL,NULL,NULL,NULL,NULL,3774,11754
Ancilla College,Donaldson,IN,0.719,440,520,420,520,951,18600,18600
Anderson University,Anderson,IN,0.6274,500,580,500,580,1098,31230,31230
Ball State University,Muncie,IN,0.7671,NULL,NULL,NULL,NULL,NULL,10020,26800
Bethel University,Mishawaka,IN,0.9376,480,590,470,580,1072,29170,29170
Butler University,Indianapolis,IN,0.7317,580,660,570,670,1262,42360,42360
Calumet College of Saint Joseph,Whiting,IN,NULL,NULL,NULL,NULL,NULL,NULL,19670,19670
Christian Theological Seminary,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
College of Court Reporting Inc,Valparaiso,IN,NULL,NULL,NULL,NULL,NULL,NULL,9950,9950
Concordia Theological Seminary,Fort Wayne,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Highland,Highland,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
DePauw University,Greencastle,IN,0.6436,560,660,570,700,1253,51146,51146
Don Roberts School of Hair Design,Schererville,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Earlham College,Richmond,IN,0.6343,550,680,550,690,1246,47380,47380
University of Evansville,Evansville,IN,0.7067,550,640,540,648,1223,37466,37466
Franklin College,Franklin,IN,0.8129,480,590,490,590,1082,32970,32970
Goshen College,Goshen,IN,0.6299,500,603,510,603,1132,34540,34540
Grace College and Theological Seminary,Winona Lake,IN,0.799,NULL,NULL,NULL,NULL,NULL,26262,26262
Hanover College,Hanover,IN,0.6482,520,620,510,620,1151,38750,38750
J Michael Harrold Beauty Academy,Terre Haute,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Holy Cross College,Notre Dame,IN,0.9361,540,690,510,700,1270,32000,32000
PJ's College of Cosmetology-Clarksville,Clarksville,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Huntington University,Huntington,IN,0.7546,480,580,485,570,1075,26846,26846
Ivy Tech Community College,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,4500,8661
Purdue University Fort Wayne,Fort Wayne,IN,0.8143,490,600,480,590,1085,8589,20622
Indiana University-Purdue University-Indianapolis,Indianapolis,IN,0.8073,500,600,500,600,1106,9701,30710
University of Indianapolis,Indianapolis,IN,0.9279,490,600,490,590,1096,30976,30976
Indiana Institute of Technology,Fort Wayne,IN,0.5964,460,570,470,580,1054,27440,27440
University of Southern Indiana,Evansville,IN,0.9332,490,590,490,580,1090,8546,19856
Indiana State University,Terre Haute,IN,0.8957,NULL,NULL,NULL,NULL,NULL,9236,20160
Indiana University-Kokomo,Kokomo,IN,0.7364,480,570,490,560,1053,7527,19978
Indiana University-South Bend,South Bend,IN,0.777,470,570,480,560,1042,7527,19978
Indiana University-Bloomington,Bloomington,IN,0.7791,580,670,570,690,1274,10947,36512
Indiana University-Northwest,Gary,IN,0.7462,460,560,450,540,1013,7527,19978
Indiana University-Southeast,New Albany,IN,0.8191,470,580,460,560,1043,7527,19978
Indiana University-East,Richmond,IN,0.6252,470,580,460,560,1041,7527,19978
International Business College-Fort Wayne,Fort Wayne,IN,0.7372,NULL,NULL,NULL,NULL,NULL,13960,13960
International Business College-Indianapolis,Indianapolis,IN,0.7933,NULL,NULL,NULL,NULL,NULL,13960,13960
Taylor Institute of Cosmetology II,Knox,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Indianapolis,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lincoln College of Technology-Indianapolis,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Manchester University,North Manchester,IN,0.5607,NULL,NULL,NULL,NULL,NULL,33624,33624
Marian University,Indianapolis,IN,0.6154,490,590,480,590,1085,35000,35000
Indiana Wesleyan University-Marion,Marion,IN,0.67,510,630,510,600,1135,27296,27296
Martin University,Indianapolis,IN,NULL,NULL,NULL,NULL,NULL,NULL,13200,13200
Anabaptist Mennonite Biblical Seminary,Elkhart,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Mid-America College of Funeral Service,Jeffersonville,IN,NULL,NULL,NULL,NULL,NULL,NULL,11900,11900
West Michigan College of Barbering and Beauty,Kalamazoo,MI,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Notre Dame,Notre Dame,IN,0.1583,680,760,720,790,1490,55553,55553
Oakland City University,Oakland City,IN,0.5475,460,570,460,560,1023,24300,24300
PJ's College of Cosmetology-Richmond,Richmond,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Ravenscroft Beauty College,Fort Wayne,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rogers Academy of Hair Design,Evansville,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rose-Hulman Institute of Technology,Terre Haute,IN,0.7421,600,700,648,760,1367,51927,51927
University of Saint Francis-Fort Wayne,Fort Wayne,IN,0.9622,478,590,470,580,1072,31480,31480
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,0.6723,470,570,460,550,1031,30500,30500
Saint Mary's College,Notre Dame,IN,0.8121,540,630,520,620,1193,43900,43900
Saint Meinrad School of Theology,St. Meinrad,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saint Elizabeth School of Nursing,Lafayette,IN,0.6923,410,500,400,510,910,19948,19948
Taylor University,Upland,IN,0.6813,540,650,540,660,1205,35305,35305
Trine University,Angola,IN,0.8157,510,620,530,640,1170,32810,32810
Valparaiso University,Valparaiso,IN,0.8585,540,640,530,650,1202,41820,41820
Vincennes Beauty College,Vincennes,IN,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Vincennes University,Vincennes,IN,NULL,NULL,NULL,NULL,NULL,NULL,6074,14364
Wabash College,Crawfordsville,IN,0.6419,560,650,560,670,1232,44720,44720
Allen College,Waterloo,IA,NULL,NULL,NULL,NULL,NULL,NULL,19052,19052
Briar Cliff University,Sioux City,IA,NULL,NULL,NULL,NULL,NULL,NULL,32202,32202
Buena Vista University,Storm Lake,IA,0.5735,460,560,470,550,1108,35194,35194
Capri College-Dubuque,Dubuque,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Capri College-Cedar Rapids,Cedar Rapids,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Central College,Pella,IA,0.6507,485,610,490,625,1117,38600,38600
Clarke University,Dubuque,IA,0.9385,470,560,470,560,1054,34670,34670
Coe College,Cedar Rapids,IA,0.6333,NULL,NULL,NULL,NULL,NULL,45580,45580
Cornell College,Mount Vernon,IA,0.6177,540,675,560,670,1241,43976,43976
Des Moines Area Community College,Ankeny,IA,NULL,NULL,NULL,NULL,NULL,NULL,4800,9600
Divine Word College,Epworth,IA,0.625,NULL,NULL,NULL,NULL,NULL,13440,13440
Dordt University,Sioux Center,IA,0.7546,510,670,520,670,1202,31770,31770
Drake University,Des Moines,IA,0.6764,560,680,540,690,1285,42840,42840
University of Dubuque,Dubuque,IA,0.7269,420,540,420,540,1004,35570,35570
Ellsworth Community College,Iowa Falls,IA,NULL,NULL,NULL,NULL,NULL,NULL,4896,5832
Emmaus Bible College,Dubuque,IA,0.9381,450,690,460,610,1126,18950,18950
Eastern Iowa Community College District,Davenport,IA,NULL,NULL,NULL,NULL,NULL,NULL,5376,7520
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,0.625,NULL,NULL,NULL,NULL,NULL,17298,17298
Faust Institute of Cosmetology-Storm Lake,Storm Lake,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Graceland University-Lamoni,Lamoni,IA,0.5811,470,570,450,550,1067,30420,30420
Grand View University,Des Moines,IA,0.9587,450,550,470,570,1033,30508,30508
Grinnell College,Grinnell,IA,0.2308,670,740,700,790,1457,54354,54354
Hamilton Technical College,Davenport,IA,NULL,NULL,NULL,NULL,NULL,NULL,14250,14250
Hawkeye Community College,Waterloo,IA,NULL,NULL,NULL,NULL,NULL,NULL,5624,6334
American Hair Academy,Mt. Pleasant,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Indian Hills Community College,Ottumwa,IA,NULL,NULL,NULL,NULL,NULL,NULL,4320,5760
Iowa Central Community College,Fort Dodge,IA,NULL,NULL,NULL,NULL,NULL,NULL,5700,8200
Iowa Lakes Community College,Estherville,IA,NULL,NULL,NULL,NULL,NULL,NULL,6588,6940
UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
American College of Hairstyling-Des Moines,Des Moines,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iowa School of Beauty-Des Moines,Des Moines,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iowa State University,Ames,IA,0.9205,540,650,560,690,1220,9320,24508
Iowa Wesleyan University,Mount Pleasant,IA,0.5831,460,540,460,520,1042,25424,31530
Iowa Western Community College,Council Bluffs,IA,NULL,NULL,NULL,NULL,NULL,NULL,6240,6400
University of Iowa,Iowa City,IA,0.8255,560,660,570,680,1235,9606,31569
Kirkwood Community College,Cedar Rapids,IA,NULL,NULL,NULL,NULL,NULL,NULL,5028,6512
La James International College-Cedar Falls,Cedar Falls,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
La James International College-Johnston,Johnston,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
La James College of Hairstyling and Cosmetology,Mason City,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
La James International College-Ft Dodge,Fort Dodge,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Loras College,Dubuque,IA,0.7532,480,575,485,570,1112,35218,35218
Luther College,Decorah,IA,0.6227,510,635,520,630,1207,44070,44070
Maharishi International University,Fairfield,IA,0.8113,NULL,NULL,NULL,NULL,NULL,16530,16530
Marshalltown Community College,Marshalltown,IA,NULL,NULL,NULL,NULL,NULL,NULL,4896,5232
Mercy College of Health Sciences,Des Moines,IA,0.9781,NULL,NULL,NULL,NULL,NULL,18150,18150
Morningside College,Sioux City,IA,0.6309,NULL,NULL,NULL,NULL,1120,32720,32720
Mount Mercy University,Cedar Rapids,IA,0.6599,NULL,NULL,NULL,NULL,1085,33862,33862
Ashford University,San Diego,CA,NULL,NULL,NULL,NULL,NULL,NULL,12400,12400
North Iowa Area Community College,Mason City,IA,NULL,NULL,NULL,NULL,NULL,NULL,5603,7999
University of Northern Iowa,Cedar Falls,IA,0.7905,480,631,500,610,1149,8938,21222
Northwestern College,Orange City,IA,0.6952,510,625,520,625,1185,32300,32300
Northeast Iowa Community College,Calmar,IA,NULL,NULL,NULL,NULL,NULL,NULL,5940,6660
Northwest Iowa Community College,Sheldon,IA,NULL,NULL,NULL,NULL,NULL,NULL,6240,6540
Des Moines University-Osteopathic Medical Center,Des Moines,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iowa School of Beauty-Ottumwa,Ottumwa,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Palmer College of Chiropractic,Davenport,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
PCI Academy-Ames,Ames,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Saint Ambrose University,Davenport,IA,0.7679,490,590,580,680,1149,31812,31812
St Luke's College,Sioux City,IA,0.2903,NULL,NULL,NULL,NULL,NULL,20440,20440
La James International College-Davenport,Davenport,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
La James International College-Iowa City,Iowa City,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Simpson College,Indianola,IA,0.8046,500,640,530,610,1122,40666,40666
Southeastern Community College,West Burlington,IA,NULL,NULL,NULL,NULL,NULL,NULL,5670,5820
Southwestern Community College,Creston,IA,NULL,NULL,NULL,NULL,NULL,NULL,6112,6336
Capri College-Davenport,Davenport,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Iowa School of Beauty-Sioux City,Sioux City,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
E Q School of Hair Design,Council Bluffs,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Upper Iowa University,Fayette,IA,0.5128,480,580,500,580,1082,31685,31685
Waldorf University,Forest City,IA,0.6614,460,560,460,550,1029,22352,22352
Wartburg College,Waverly,IA,0.7514,520,620,520,600,1166,43930,43930
Wartburg Theological Seminary,Dubuque,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Western Iowa Tech Community College,Sioux City,IA,NULL,NULL,NULL,NULL,NULL,NULL,4368,4392
William Penn University,Oskaloosa,IA,0.5821,440,530,440,530,990,26100,26100
Allen County Community College,Iola,KS,NULL,NULL,NULL,NULL,NULL,NULL,3080,3080
Baker University,Baldwin City,KS,0.8798,490,580,510,590,1131,29880,29880
Barton County Community College,Great Bend,KS,NULL,NULL,NULL,NULL,NULL,NULL,3424,4288
Benedictine College,Atchison,KS,0.9705,550,650,510,660,1200,30530,30530
Bethany College,Lindsborg,KS,0.6767,NULL,NULL,NULL,NULL,1065,29565,29565
Bethel College-North Newton,North Newton,KS,0.5748,460,550,470,580,1067,29390,29390
Butler Community College,El Dorado,KS,NULL,NULL,NULL,NULL,NULL,NULL,3121,5401
Central Christian College of Kansas,McPherson,KS,NULL,NULL,NULL,NULL,NULL,NULL,20450,20450
Cloud County Community College,Concordia,KS,NULL,NULL,NULL,NULL,NULL,NULL,3180,3570
Coffeyville Community College,Coffeyville,KS,NULL,NULL,NULL,NULL,NULL,NULL,2720,4288
Colby Community College,Colby,KS,NULL,NULL,NULL,NULL,NULL,NULL,3698,5385
Cowley County Community College,Arkansas City,KS,NULL,NULL,NULL,NULL,NULL,NULL,3120,4890
Dodge City Community College,Dodge City,KS,NULL,NULL,NULL,NULL,NULL,NULL,2190,3690
Donnelly College,Kansas City,KS,NULL,NULL,NULL,NULL,NULL,NULL,7740,7740
Emporia State University,Emporia,KS,0.8467,480,515,470,540,1116,6797,20714
Flint Hills Technical College,Emporia,KS,NULL,NULL,NULL,NULL,NULL,NULL,6200,6200
Fort Hays State University,Hays,KS,0.9115,NULL,NULL,NULL,NULL,NULL,5280,15360
Barclay College,Haviland,KS,0.5125,NULL,NULL,NULL,NULL,NULL,20400,20400
Friends University,Wichita,KS,0.4581,490,570,460,580,1109,29394,29394
Fort Scott Community College,Fort Scott,KS,NULL,NULL,NULL,NULL,NULL,NULL,3060,3510
Garden City Community College,Garden City,KS,NULL,NULL,NULL,NULL,NULL,NULL,3240,3810
Haskell Indian Nations University,Lawrence,KS,0.8821,370,510,360,520,942,480,480
Hays Academy of Hair Design,Hays,KS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
