INSTNM,CITY,STATE,ADM_RATE,SATVR25,SATVR75,SATMT25,SATMT75,SAT_AVG_ALL,TUITIONFEE_IN,TUITIONFEE_OUT
Arizona Academy of Beauty-East,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Brookline College-Phoenix,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arizona State University Campus Immersion,Tempe,AZ,0.8647,560,670,560,690,1214,11338,29428
Arizona Western College,Yuma,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2780,9770
University of Arizona,Tucson,AZ,0.8459,560,670,550,690,1228,12711,36718
Southwest University of Visual Arts-Tucson,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,23069,23069
Central Arizona College,Coolidge,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2580,5160
Charles of Italy Beauty College,Lake Havasu City,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Cochise County Community College District,Sierra Vista,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2112,6240
Empire Beauty School-Flagstaff,Flagstaff,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-Chandler,Chandler,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Mesa,Mesa,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Eastern Arizona College,Thatcher,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2700,9120
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,0.657,NULL,NULL,NULL,NULL,NULL,36708,36708
The School of Architecture,Paradise Valley,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Glendale Community College,Glendale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
Grand Canyon University,Phoenix,AZ,0.7694,NULL,NULL,NULL,NULL,NULL,17800,17800
GateWay Community College,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
Mesa Community College,Mesa,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
Mohave Community College,Kingman,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2112,6972
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dine College,Tsaile,AZ,NULL,NULL,NULL,NULL,NULL,NULL,1410,1410
Northern Arizona University,Flagstaff,AZ,0.8489,NULL,NULL,NULL,NULL,NULL,11896,26516
Northland Pioneer College,Holbrook,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2380,9360
Ottawa University-Phoenix,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,1017,NULL,NULL
Phoenix College,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
Pima Community College,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2190,7506
Pima Medical Institute-Tucson,Tucson,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Pima Medical Institute-Albuquerque,Albuquerque,NM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Prescott College,Prescott,AZ,0.9741,NULL,NULL,NULL,NULL,NULL,32553,32553
Refrigeration School Inc,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rio Salado College,Tempe,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
Roberto-Venn School of Luthiery,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Scottsdale Community College,Scottsdale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
South Mountain Community College,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2070,7854
Arizona Christian University,Glendale,AZ,0.6793,450,550,440,530,982,27890,27890
Universal Technical Institute of Arizona Inc,Avondale,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Empire Beauty School-NW Phoenix,Phoenix,AZ,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yavapai College,Prescott,AZ,NULL,NULL,NULL,NULL,NULL,NULL,2492,9080
University of Arkansas at Little Rock,Little Rock,AR,0.6582,NULL,NULL,NULL,NULL,1120,9544,21754
University of Arkansas for Medical Sciences,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Baptist College,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,8760,8760
Arkansas Beauty School-Little Rock,Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arkansas Beauty College,Russellville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Lyon College,Batesville,AR,0.444,520,620,520,580,1165,29140,29140
Arkansas College of Barbering and Hair Design,North Little Rock,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Arthur's Beauty College,Fort Smith,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
University of Arkansas,Fayetteville,AR,0.7709,570,650,550,650,1253,9384,25872
University of Arkansas at Pine Bluff,Pine Bluff,AR,0.4394,440,530,450,520,978,8248,14908
Arkansas State University-Beebe,Beebe,AR,NULL,NULL,NULL,NULL,NULL,NULL,2928,4656
Arkansas State University,Jonesboro,AR,0.7991,510,610,503,610,1188,8900,15860
Arkansas Tech University,Russellville,AR,0.9474,NULL,NULL,NULL,NULL,NULL,7668,13236
University of Arkansas at Monticello,Monticello,AR,NULL,NULL,NULL,NULL,NULL,NULL,7909,13759
Arthur's Beauty College,Jacksonville,AR,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Baptist Health College Little Rock,Little Rock,AR,1,NULL,NULL,NULL,NULL,1085,11032,11032
